COMMAND     PID                         USER   FD   TYPE     DEVICE SIZE/OFF NODE NAME
master     1975                        daiso    3u  IPv4 2026978749      0t0  TCP 127.0.0.1:32640->127.0.0.1:8200 (ESTABLISHED)
master     1975                        daiso    8u  IPv4 1951961817      0t0  TCP 127.0.0.1:22786->127.0.0.1:8200 (ESTABLISHED)
master     1975                        daiso    9u  IPv6  248024217      0t0  TCP *:49006 (LISTEN)
master     1975                        daiso   13u  IPv4 2015377407      0t0  TCP 175.209.34.63:11712->172.16.10.127:5432 (ESTABLISHED)
master     1975                        daiso   14u  IPv4 1943491387      0t0  TCP 175.209.34.63:18650->172.16.10.127:5432 (ESTABLISHED)
elastic-a  2952                         root   10u  IPv4      49167      0t0  TCP 127.0.0.1:6789 (LISTEN)
elastic-a  2952                         root   12u  IPv4      24957      0t0  TCP 127.0.0.1:6789->127.0.0.1:13588 (ESTABLISHED)
elastic-a  2952                         root   16u  IPv4      50269      0t0  TCP 127.0.0.1:6789->127.0.0.1:13690 (ESTABLISHED)
elastic-a  2952                         root   23u  IPv4      37311      0t0  TCP 127.0.0.1:6789->127.0.0.1:13694 (ESTABLISHED)
elastic-a  2952                         root   25u  IPv4      40802      0t0  TCP 127.0.0.1:6789->127.0.0.1:13760 (ESTABLISHED)
elastic-a  2952                         root   26u  IPv4      40803      0t0  TCP 127.0.0.1:6789->127.0.0.1:13762 (ESTABLISHED)
elastic-a  2952                         root   27u  IPv4     599287      0t0  TCP 175.209.34.63:18364->175.209.34.86:8220 (ESTABLISHED)
acronis_m  2988                  acronis_mon   35u  IPv4      31293      0t0  TCP 127.0.0.1:30444 (LISTEN)
acronis_m  2988                  acronis_mon   37u  IPv4 2027054464      0t0  TCP 127.0.0.1:34436->127.0.0.1:30444 (CLOSE_WAIT)
acronis_m  2988                  acronis_mon   38u  IPv4      50340      0t0  TCP 127.0.0.1:44514->127.0.0.1:9851 (ESTABLISHED)
acronis_m  2988                  acronis_mon   43u  IPv4      37361      0t0  TCP 127.0.0.1:64446->127.0.0.1:30685 (ESTABLISHED)
acronis_m  2988                  acronis_mon   44u  IPv4      31405      0t0  TCP 127.0.0.1:46712->127.0.0.1:9892 (ESTABLISHED)
acronis_m  2988                  acronis_mon   45u  IPv4 2027619979      0t0  TCP 127.0.0.1:36824->127.0.0.1:30691 (ESTABLISHED)
acronis_m  2988                  acronis_mon   46u  IPv4      31406      0t0  TCP 127.0.0.1:49484->127.0.0.1:30443 (ESTABLISHED)
acronis_m  2988                  acronis_mon   51u  IPv4      31407      0t0  TCP 127.0.0.1:65194->127.0.0.1:30630 (ESTABLISHED)
acronis_m  2988                  acronis_mon   52u  IPv4    6676787      0t0  TCP 127.0.0.1:35478->127.0.0.1:30685 (ESTABLISHED)
acronis_m  2988                  acronis_mon   68u  IPv4  524608355      0t0  TCP 127.0.0.1:41938->127.0.0.1:30677 (ESTABLISHED)
Managemen  3027                  acronis_ams   15u  IPv4      43222      0t0  UDP 127.0.0.1:24103 
Managemen  3027                  acronis_ams   16u  IPv4      36078      0t0  UDP 127.0.0.1:24104 
Managemen  3027                  acronis_ams   17u  IPv4      36079      0t0  UDP 127.0.0.1:24105 
Managemen  3027                  acronis_ams  133u  IPv4      26387      0t0  TCP 127.0.0.1:62128->127.0.0.1:7756 (ESTABLISHED)
Managemen  3027                  acronis_ams  134u  IPv4      34375      0t0  TCP 127.0.0.1:64152->127.0.0.1:30685 (ESTABLISHED)
Managemen  3027                  acronis_ams  135u  IPv4      34376      0t0  TCP 127.0.0.1:64154->127.0.0.1:30685 (ESTABLISHED)
Managemen  3027                  acronis_ams  140u  IPv4      28249      0t0  TCP 127.0.0.1:64158->127.0.0.1:30685 (ESTABLISHED)
Managemen  3027                  acronis_ams  147u  IPv4      37262      0t0  TCP *:9851 (LISTEN)
Managemen  3027                  acronis_ams  148u  IPv4 2027592077      0t0  TCP 127.0.0.1:14078->127.0.0.1:30677 (ESTABLISHED)
Managemen  3027                  acronis_ams  251u  IPv4      41572      0t0  TCP 127.0.0.1:9892 (LISTEN)
Managemen  3027                  acronis_ams  256u  IPv4      40683      0t0  TCP 127.0.0.1:18168->127.0.0.1:7755 (ESTABLISHED)
Managemen  3027                  acronis_ams  265u  IPv4      40689      0t0  TCP 127.0.0.1:18170->127.0.0.1:7755 (ESTABLISHED)
Managemen  3027                  acronis_ams  268u  IPv4      40690      0t0  TCP 127.0.0.1:18172->127.0.0.1:7755 (ESTABLISHED)
Managemen  3027                  acronis_ams  269u  IPv4      40691      0t0  TCP 127.0.0.1:18174->127.0.0.1:7755 (ESTABLISHED)
